nacimientojugador;edadjugador;pesojugador;alturajugador;roljugador;paisjugador;idJugador;jugadoresequipo;idequipo;nombreequipo
1995-01-24;25;;188;Arquero;Ecuador;132021;35;216;Aucas
2002-03-22;18;81;185;Arquero;Ecuador;246964;35;216;Aucas
1978-07-01;42;86;187;Arquero;Colombia;3837;35;216;Aucas
1985-06-02;35;80;189;Arquero;Uruguay;8588;35;216;Aucas
1999-02-28;21;82;188;Arquero;Ecuador;214039;35;216;Aucas
1998-05-16;22;71;178;Defensor;Ecuador;215454;35;216;Aucas
1996-04-27;24;;;Defensor;Colombia;254227;35;216;Aucas
1992-11-09;27;70;180;Defensor;Ecuador;146457;35;216;Aucas
1996-02-17;24;79;183;Defensor;Ecuador;95681;35;216;Aucas
1999-02-24;21;73;178;Defensor;Ecuador;199979;35;216;Aucas
1991-08-02;29;81;183;Defensor;Argentina;47808;35;216;Aucas
1988-04-12;32;74;184;Defensor;Argentina;147619;35;216;Aucas
1999-07-22;21;83;183;Defensor;Ecuador;214883;35;216;Aucas
1999-06-01;21;73;175;Defensor;Ecuador;224878;35;216;Aucas
2000-01-23;20;;;Defensor;Ecuador;195147;35;216;Aucas
1999-04-21;21;67;165;Volante;Ecuador;159869;35;216;Aucas
1990-04-17;30;65;170;Volante;Argentina;58481;35;216;Aucas
2001-09-21;18;58;168;Volante;Ecuador;245394;35;216;Aucas
1991-05-14;29;73;174;Volante;Ecuador;63332;35;216;Aucas
1997-09-13;22;91;190;Volante;Ecuador;208952;35;216;Aucas
1984-02-15;36;75;175;Volante;Argentina;369;35;216;Aucas
1989-01-04;31;65;170;Volante;Argentina;46123;35;216;Aucas
1998-06-11;22;72;182;Volante;Ecuador;179484;35;216;Aucas
2002-01-20;18;71;175;Volante;Ecuador;208057;35;216;Aucas
1998-09-07;21;57;165;Volante;Ecuador;168288;35;216;Aucas
1991-01-24;29;64;173;Delantero;Ecuador;85200;35;216;Aucas
1997-03-11;23;81;182;Delantero;Ecuador;172979;35;216;Aucas
1986-02-27;34;76;177;Delantero;Argentina;730;35;216;Aucas
1983-09-29;36;67;170;Delantero;Argentina;36681;35;216;Aucas
2000-03-09;20;59;168;Delantero;Ecuador;184480;35;216;Aucas
1999-05-05;21;78;180;Delantero;Ecuador;225038;35;216;Aucas
1993-09-02;26;66;175;Delantero;Ecuador;114228;35;216;Aucas
1998-09-03;21;63;185;Delantero;Ecuador;113840;35;216;Aucas
1993-04-24;27;70;185;Delantero;Ecuador;72158;35;216;Aucas
1960-02-15;60;;;DT;Argentina;24150;35;216;Aucas
[Table];[Table];75;185;Arquero;Argentina;70071;34;217;Barcelona
[Table];[Table];68;181;Arquero;Ecuador;181942;34;217;Barcelona
